DispatchID,CampName,ItemName,Quantity,Timestamp
DSP-1001,Riverside Community Center,Purified Water Packs (10L),120,2026-09-16T21:58:38.232399400
DSP-1002,Sector 4 Coastal Camp,Trauma First-Aid Kits,50,2026-09-16T21:58:38.232399400
DSP-1003,Central Metro Underpass,Trauma First-Aid Kits,10,2026-09-16T21:58:38.232399400
DSP-1004,Central Metro Underpass,Emergency Insulin & Cold-Chain Vials,20,2026-09-16T21:58:38.232399400
DSP-1005,Central Metro Underpass,High-Calorie Ready-to-Eat Rations (MRE),200,2026-09-16T21:58:38.232399400
DSP-1006,North Ridge School Shelter,All-Weather Family Tents,35,2026-09-16T21:58:38.232399400
DSP-1007,North Ridge School Shelter,Thermal Blankets (5-Pack),5,2026-09-16T21:58:38.232399400
DSP-1008,Riverside Community Center,High-Calorie Ready-to-Eat Rations (MRE),50,2026-09-16T21:58:38.232399400
DSP-1009,Riverside Community Center,Infant Nutrition & Milk Formula,30,2026-09-16T21:58:38.232399400
DSP-1010,Sector 4 Coastal Camp,Thermal Blankets (5-Pack),30,2026-09-16T21:58:38.232399400
DSP-1011,Highland Sports Arena,Infant Nutrition & Milk Formula,10,2026-09-16T21:58:38.232399400
DSP-1012,Highland Sports Arena,Dry Grains & Rice Sacks (25kg),90,2026-09-16T21:58:38.232399400
DSP-1013,Highland Sports Arena,Purified Water Packs (10L),30,2026-09-16T21:58:38.232399400
DSP-1014,Highland Sports Arena,Emergency Water Purification Tablets (Boxes),70,2026-09-16T21:58:38.232399400
DSP-1015,Riverside Community Center,Emergency Water Purification Tablets (Boxes),10,2026-09-16T21:58:38.232399400
DSP-1016,North Ridge School Shelter,Thermal Blankets (5-Pack),20,2026-09-16T21:58:38.232399400
